Slice,DG_H,DG_W,whole,H/whole,W/whole
39,137,118,4434,0.03089760938,0.02661253947
40,466,218,4632,0.1006044905,0.04706390328
41,518,254,4480,0.115625,0.05669642857
42,642,275,4523,0.1419411895,0.06080035375
43,649,327,4362,0.148784961,0.0749656121
44,826,464,4538,0.1820185104,0.1022476862
45,885,410,4525,0.1955801105,0.09060773481
46,1037,461,4503,0.2302909172,0.1023761936
47,954,508,4377,0.2179575051,0.1160612292
48,1030,515,4600,0.2239130435,0.1119565217
49,1077,550,4602,0.2340286832,0.1195132551
50,1235,603,4600,0.2684782609,0.1310869565
51,1311,638,4600,0.285,0.1386956522
52,1372,646,4581,0.2994979262,0.1410172451
53,1345,707,4622,0.2909995673,0.1529640848
54,1491,798,4328,0.3445009242,0.1843807763
55,1528,698,4380,0.3488584475,0.1593607306
56,1515,770,4767,0.3178099434,0.1615271659
57,1571,835,4543,0.3458067356,0.1837992516
58,1648,867,4584,0.3595113438,0.1891361257
59,1819,750,4584,0.3968150087,0.1636125654
60,1741,824,4264,0.4083020638,0.1932457786
61,1844,808,4294,0.4294364229,0.1881695389
62,1811,866,4508,0.4017302573,0.1921029281
63,1919,885,4578,0.4191786806,0.1933158585
