Height,Width,Whole_Height,Height/Whole,Height/Avg,Slice,Width/Whole,Width/Avg
0,0,0,0,0,1,0,0
165,159,4113,0.04011670314,0.03915683674,2,0.03865791393,0.03773295177
455,307,4000,0.11375,0.1082037143,3,0.07675,0.07300778086
546,398,3965,0.137704918,0.1298444572,4,0.1003783102,0.09464852372
690,452,3905,0.1766965429,0.1640891492,5,0.1157490397,0.1074902832
744,555,3271,0.2274533782,0.1769309087,6,0.1696728829,0.1319847504
1016,711,3978,0.255404726,0.2416153269,7,0.1787330317,0.1690831667
1062,788,3993,0.2659654395,0.2525546035,8,0.1973453544,0.1873945645
1104,806,3967,0.2782959415,0.2625426387,9,0.2031762037,0.191675151
1208,872,4183,0.2887879512,0.2872749162,10,0.2084628257,0.2073706349
1282,878,4174,0.3071394346,0.3048728829,11,0.2103497844,0.208797497
1304,957,4233,0.3080557524,0.3101047109,12,0.2260807938,0.2275845156
1369,1072,4162,0.3289283998,0.3255623843,13,0.2575684767,0.2549327071
1450,1133,4074,0.3559155621,0.3448250236,14,0.2781050565,0.2694391391
1503,1175.306234,4205.03125,0.3575,0.3594,15,0.2795,0.2776
1558,1219.038559,4205.03125,0.3705,0.3735,16,0.2899,0.2881
1637,1251,4320,0.3789351852,0.3892955611,17,0.2895833333,0.2975007617
1744,1284,4373,0.398810885,0.4147412698,18,0.2936199405,0.3053485037
1777,1319,4326,0.4107720758,0.4225890117,19,0.304900601,0.3136718663
1751,1329,4233,0.4136546185,0.4164059423,20,0.3139617293,0.3160499699
1830,1337,4476,0.408847185,0.4351929608,21,0.2987042002,0.3179524528
1943,1316,4340,0.4476958525,0.4620655316,22,0.3032258065,0.3129584352
1936,1336,4409,0.4391018372,0.4604008591,23,0.303016557,0.3177146424
1901,1400,4329,0.4391314391,0.4520774965,24,0.3234003234,0.3329345055
1995,1403,4391,0.4543384195,0.4744316704,25,0.3195171943,0.3336479366
2022,1446,4342,0.4656840166,0.4808525501,26,0.3330262552,0.3438737822
1995,1461.248359,4205.03125,0.4745,0.4863,27,0.3475,0.3376
2104,1471.340434,4205.03125,0.4875,0.5004,28,0.3499,0.3381
2144,1353,4289,0.4998834227,0.5098654142,29,0.3154581488,0.3217574186
1974,1355,4259,0.4634890819,0.4694376528,30,0.3181498004,0.3222330393
2157,1370,4446,0.4851551957,0.5129569489,31,0.3081421502,0.3258001947
2168,1389,4255,0.5095182139,0.5155728629,32,0.326439483,0.3303185916
2197,1377,4462,0.4923800986,0.5224693633,33,0.3086060063,0.3274648672
2226,1400,4359,0.5106675843,0.5293658638,34,0.3211745813,0.3329345055
2341,1317,4409,0.5309594012,0.5567140553,35,0.2987071898,0.3131962456
2291,1364,4379,0.5231788079,0.5448235373,36,0.3114866408,0.3243733325
2445,1362,3803,0.6429134894,0.5814463329,37,0.3581383119,0.3238977118
2408,1364,4456,0.5403949731,0.5726473495,38,0.3061041293,0.3243733325
